date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-11-11,6503.00000000,6797.98000000,6100.00000000,6245.05000000,6496.8475,5493.793000000001,,,6760.939450647009,6721.559389318556,6486.396302187147,5688.729703320929,,48.79836102585047,bear
2017-11-12,6245.05000000,6630.00000000,5325.01000000,5811.03000000,6491.602499999999,5534.4136,,,6549.8484616143405,6581.477944808009,6424.999365624679,5693.097571059467,,42.384371102760134,bear
2017-11-13,5839.94000000,6697.47000000,5699.99000000,6465.99000000,6541.050499999999,5590.533,,,6531.213247922265,6563.710568683699,6428.725786931526,5720.700872093057,,52.52524703158341,bull
2017-11-14,6465.99000000,6684.98000000,6311.07000000,6574.99000000,6585.300499999999,5643.6178,,,6540.94141505065,6565.445865809284,6442.022533574115,5751.211198089733,,53.97704461801284,bull
2017-11-15,6575.99000000,7298.00000000,6575.99000000,7240.06000000,6654.214999999999,5710.772000000001,,,6696.30110059495,6669.232655684779,6514.571394158286,5804.384369586529,,61.6775933708474,bull
2017-11-16,7240.14000000,7940.00000000,7076.00000000,7864.50000000,6758.9985,5784.202000000001,,,6955.900856018295,6853.119939425583,6637.2921765075325,5877.959927815581,,67.2229018785093,bull
2017-11-17,7876.98000000,7989.00000000,7451.00000000,7699.19000000,6857.976,5854.6958,,,7121.076221347563,6983.284564129339,6733.828342279575,5943.003858965025,,64.55956190842697,bear
2017-11-18,7680.01000000,7819.99000000,7422.00000000,7761.94000000,6937.5740000000005,5926.4408,,,7263.490394381438,7103.07770810944,6827.293038435977,6007.965864001988,,65.12440812618672,bull
2017-11-19,7761.94000000,8123.15000000,7650.33000000,8038.00000000,7033.4490000000005,5999.6306,,,7435.6036400744515,7246.911906861834,6937.35730766907,6080.467083144774,,67.5729787579836,bull
2017-11-20,8057.11000000,8319.99000000,7954.00000000,8212.00000000,7120.899,6076.301000000001,,,7608.136164502351,7395.38699811386,7053.233916062791,6156.593258746746,,69.04803870682397,bull
2017-11-21,8212.49000000,8400.00000000,7801.00000000,8119.51000000,7189.175499999999,6151.0912,,,7721.774794612939,7506.790536865574,7150.168105511628,6226.697428077219,,67.29569177911245,bear
2017-11-22,8091.09000000,8322.68000000,8091.09000000,8205.92000000,7248.472500000001,6229.009600000001,,,7829.362618032286,7614.348915809332,7246.145550465116,6297.383948503033,,68.10997870660893,bull
2017-11-23,8233.03000000,8260.00000000,8000.00000000,8019.99000000,7293.719999999999,6305.2376,,,7871.724258469556,7676.75523645405,7316.495045877378,6358.9055931993535,,64.39468892839501,bear
2017-11-24,8019.97000000,8369.00000000,7850.00000000,8138.00000000,7332.7654999999995,6382.149,5270.6666000000005,,7930.896645476321,7747.715969307273,7391.17731443398,6422.44467915652,,65.67451983508275,bull
